id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_1h_in_currency,price_change_percentage_24h_in_currency,roi.times,roi.currency,roi.percentage
cosmos,atom,Cosmos,https://assets.coingecko.com/coins/images/1481/large/cosmos_hub.png?1555657960,28.61,8120937519,28,,554094581.0,28.82,26.99,1.29,4.72325,402831859.0,5.21931,284012627.316362,,,44.42,-35.81172,2021-09-20T00:05:25.062Z,1.16,2357.83082,2020-03-13T02:27:44.591Z,,2021-12-24T08:35:07.016Z,1.4570696592452526,4.723253109186727,285.0673811882633,usd,28506.73811882633
axie-infinity,axs,Axie Infinity,https://assets.coingecko.com/coins/images/13029/large/axie_infinity_logo.png?1604471082,107.15,7273508410,29,28929074532.0,265540836.0,108.98,101.22,5.33,5.23691,360395158.0,5.21321,67884897.88998564,270000000.0,270000000.0,164.9,-35.27053,2021-11-06T19:29:29.482Z,0.123718,86174.66956,2020-11-06T08:05:43.662Z,,2021-12-24T08:34:44.261Z,0.5816782235978312,5.236912023255832,,,
stellar,xlm,Stellar,https://assets.coingecko.com/coins/images/100/large/Stellar_symbol_black_RGB.png?1552356157,0.285468,7042248434,30,14241418725.0,388597550.0,0.290215,0.275238,0.00984183,3.57072,260526231.0,3.84159,24725423896.5076,50001802432.1399,50001802432.1399,0.875563,-67.47047,2018-01-03T00:00:00.000Z,0.00047612,59719.90487,2015-03-05T00:00:00.000Z,,2021-12-24T08:36:05.447Z,0.8382302476746626,3.570716306259835,,,
staked-ether,steth,Lido Staked Ether,https://assets.coingecko.com/coins/images/13442/large/steth_logo.png?1608607546,4088.98,6594255814,31,6594255814.0,4940659.0,4144.66,3892.17,182.38,4.6686,343315466.0,5.49222,1612895.38039984,1612895.38039984,1612895.38039984,4829.57,-15.16824,2021-11-10T14:40:47.256Z,482.9,748.42447,2020-12-22T04:08:21.854Z,,2021-12-24T08:35:01.264Z,0.38762634981947325,4.668596355520767,,,
vechain,vet,VeChain,https://assets.coingecko.com/coins/images/1167/large/VeChain-Logo-768x725.png?1547035194,0.095434,6369918374,32,,388726758.0,0.095589,0.086365,0.00861154,9.91852,594029827.0,10.28465,66760741299.0,86712634466.0,,0.280991,-66.09538,2021-04-19T01:08:21.675Z,0.00191713,4869.34548,2020-03-13T02:29:59.652Z,,2021-12-24T08:34:53.265Z,0.5489163318891893,9.918518470115636,7.104903101905233,eth,710.4903101905232
compound-ether,ceth,cETH,https://assets.coingecko.com/coins/images/10643/large/ceth2.JPG?1581389598,82.42,6084300328,33,,14525097.0,83.25,78.82,3.42,4.32965,256298375.0,4.39771,73695526.6730758,73695526.6730758,,97.75,-15.68348,2021-11-21T12:39:57.508Z,1.89,4269.42118,2020-03-13T02:22:33.711Z,,2021-12-24T08:37:11.378Z,0.353408189549964,4.32964832392814,,,
hedera-hashgraph,hbar,Hedera,https://assets.coingecko.com/coins/images/3688/large/hbar.png?1637045634,0.326173,6022303681,34,,86218075.0,0.336016,0.321646,0.0031272,0.96803,69571283.0,1.16873,18476107922.0,50000000000.0,,0.569229,-42.89613,2021-09-15T10:40:28.318Z,0.00986111,3196.29965,2020-01-02T17:30:24.852Z,,2021-12-24T08:34:46.093Z,0.7275718852765656,0.9680345505065203,,,
ftx-token,ftt,FTX Token,https://assets.coingecko.com/coins/images/9026/large/F.png?1609051564,43.31,6009731666,35,14478311764.0,86791661.0,43.55,41.03,2.12,5.14349,283600879.0,4.95275,138998762.21874323,334868098.285971,334868098.285971,84.18,-48.7785,2021-09-09T16:59:43.151Z,1.15,3650.44263,2019-09-06T00:00:00.000Z,,2021-12-24T08:35:29.266Z,0.7587602415975903,5.143485954454978,,,
the-sandbox,sand,The Sandbox,https://assets.coingecko.com/coins/images/12129/large/sandbox_logo.jpg?1597397942,6.35,5837713653,36,19046408887.0,2427867352.0,6.46,5.11,1.2,23.34256,1108693135.0,23.44446,919498319.2233225,3000000000.0,3000000000.0,8.4,-24.77771,2021-11-25T06:04:40.957Z,0.02897764,21697.01902,2020-11-04T15:59:14.441Z,,2021-12-24T08:37:54.803Z,2.1869078236708455,23.342563474836826,,,
elrond-erd-2,egld,Elrond,https://assets.coingecko.com/coins/images/12335/large/elrond3_360.png?1626341589,265.34,5371275683,37,,241680282.0,269.0,243.74,21.56,8.84496,437664900.0,8.87109,20267523.0,20397843.0,,545.64,-51.58245,2021-11-23T10:33:26.737Z,6.51,3960.22731,2020-10-07T01:44:53.554Z,,2021-12-24T08:34:55.846Z,1.047025998415466,8.844958339840128,,,
internet-computer,icp,Internet Computer,https://assets.coingecko.com/coins/images/14495/large/Internet_Computer_logo.png?1620703073,28.15,5354055385,38,13166341229.0,503916745.0,28.12,23.62,4.16,17.35359,785961362.0,17.20546,190804426.75,469213710.0,469213710.0,700.65,-95.99791,2021-05-10T16:05:53.653Z,21.04,33.26107,2021-12-20T12:59:41.703Z,,2021-12-24T08:34:48.395Z,2.2621296032937144,17.353593835546086,,,
filecoin,fil,Filecoin,https://assets.coingecko.com/coins/images/12817/large/filecoin.png?1602753933,37.53,5304870450,39,74024793036.0,519972031.0,38.1,35.47,1.89,5.29846,287516573.0,5.73044,141243930.0,1970934594.0,1970934594.0,236.84,-84.18157,2021-04-01T13:29:41.564Z,20.06,86.76559,2020-12-29T22:32:28.483Z,,2021-12-24T08:36:31.228Z,0.5626439809135204,5.298464142354195,,,
fantom,ftm,Fantom,https://assets.coingecko.com/coins/images/4001/large/Fantom.png?1558015016,2.02,5115422500,40,6391377519.0,818672711.0,2.01,1.7,0.236844,13.31523,617358240.0,13.72498,2541152731.01,3175000000.0,3175000000.0,3.46,-42.43417,2021-10-28T05:19:39.845Z,0.00190227,104562.15461,2020-03-13T02:25:38.280Z,,2021-12-24T08:35:31.926Z,1.9540218029684178,13.315226801543126,66.18641290487517,usd,6618.641290487517
ethereum-classic,etc,Ethereum Classic,https://assets.coingecko.com/coins/images/453/large/ethereum-classic-logo.png?1547034169,38.28,5042818725,41,8059217800.0,366550534.0,38.25,35.62,2.65,7.45138,356884285.0,7.61608,131839333.765124,210700000.0,210700000.0,167.09,-77.11174,2021-05-06T18:34:22.133Z,0.615038,6117.97933,2016-07-25T00:00:00.000Z,,2021-12-24T08:36:09.805Z,0.8505320544327396,7.451375395377637,84.06527197797242,usd,8406.527197797242
decentraland,mana,Decentraland,https://assets.coingecko.com/coins/images/878/large/decentraland-mana.png?1550108745,3.76,4993723593,42,8253764592.0,1460174884.0,3.86,3.24,0.495262,15.17594,678085037.0,15.71228,1327372145.9864838,2193917427.32015,2193917427.32015,5.85,-36.19822,2021-11-25T10:04:18.534Z,0.00923681,40313.61625,2017-10-31T00:00:00.000Z,,2021-12-24T08:34:43.694Z,1.539630599632352,15.17594273935102,186.9365585003292,usd,18693.65585003292
theta-token,theta,Theta Network,https://assets.coingecko.com/coins/images/2538/large/theta-token-logo.png?1548387191,4.82,4813738124,43,,151571027.0,4.85,4.5,0.289667,6.39783,286159103.0,6.32036,1000000000.0,1000000000.0,,15.72,-69.44765,2021-04-16T13:15:11.190Z,0.04039979,11788.03978,2020-03-13T02:24:16.483Z,,2021-12-24T08:35:35.095Z,0.7994269004691668,6.397832172727375,31.114972853111173,usd,3111.497285311117
magic-internet-money,mim,Magic Internet Money,https://assets.coingecko.com/coins/images/16786/large/mimlogopng.png?1624979612,1.0,4539516415,44,,380116490.0,1.01,0.996359,0.00068152,0.06789,-3525494.3949251175,-0.0776,4519748141.24997,4519748141.24997,,1.04,-3.49784,2021-10-06T13:25:17.751Z,0.919196,9.29557,2021-12-04T05:29:56.806Z,,2021-12-24T08:35:55.310Z,0.297865898963196,0.06788623619831091,,,
cdai,cdai,cDAI,https://assets.coingecko.com/coins/images/9281/large/cDAI.png?1576467585,0.02189254,4335004397,45,,1966469.0,0.02201194,0.02171603,3.675e-05,0.16814,11632583.0,0.26906,197900690830.643,197900690830.643,,0.03159087,-30.77394,2020-10-12T21:29:00.007Z,0.00728854,200.04775,2020-03-18T04:29:40.819Z,,2021-12-24T08:37:10.802Z,0.36931747468079335,0.16813719459908924,,,
tezos,xtz,Tezos,https://assets.coingecko.com/coins/images/976/large/Tezos-logo.png?1547034862,4.79,4169582735,46,,256553811.0,4.81,4.54,0.177393,3.84223,170204703.0,4.25578,870864712.989474,,,9.12,-47.61311,2021-10-04T00:41:18.025Z,0.350476,1262.61041,2018-12-07T00:00:00.000Z,,2021-12-24T08:35:45.692Z,1.111843213560286,3.8422279196055604,9.200705326742954,usd,920.0705326742954
